filename,ecut,nkpts,alat_1,alat_3,energy,cpu_time,energy per atom 
Fe_HCP_5.38_174_6_3.out,50,28,5.38,1.74,-658.4159679,81.9,-329.2079839
Fe_HCP_5.38_174_7_4.out,50,48,5.38,1.74,-658.4183965,117.4,-329.2091983
Fe_HCP_5.38_174_8_4.out,50,60,5.38,1.74,-658.4182435,147.8,-329.2091217
Fe_HCP_5.38_174_9_5.out,50,72,5.38,1.74,-658.4184947,165.1,-329.2092473
Fe_HCP_5.38_174_10_5.out,50,84,5.38,1.74,-658.4183021,216.3,-329.2091511
Fe_HCP_5.38_174_11_6.out,50,128,5.38,1.74,-658.4182119,234.4,-329.2091059
Fe_HCP_5.39_174_6_3.out,50,28,5.39,1.74,-658.4138277,110.3,-329.2069139
Fe_HCP_5.39_174_7_4.out,50,48,5.39,1.74,-658.4162903,103.6,-329.2081452
Fe_HCP_5.39_174_8_4.out,50,60,5.39,1.74,-658.4161465,152.5,-329.2080732
Fe_HCP_5.39_174_9_5.out,50,72,5.39,1.74,-658.416447,160.5,-329.2082235
Fe_HCP_5.39_174_10_5.out,50,84,5.39,1.74,-658.4161412,158.8,-329.2080706
Fe_HCP_5.39_174_11_6.out,50,128,5.39,1.74,-658.4161184,271.4,-329.2080592
Fe_HCP_5.4_174_6_3.out,50,28,5.4,1.74,-658.410153,70.4,-329.2050765
Fe_HCP_5.4_174_7_4.out,50,48,5.4,1.74,-658.4130681,150.7,-329.206534
Fe_HCP_5.4_174_8_4.out,50,60,5.4,1.74,-658.4125734,146.2,-329.2062867
Fe_HCP_5.4_174_9_5.out,50,72,5.4,1.74,-658.413215,135.6,-329.2066075
Fe_HCP_5.4_174_10_5.out,50,84,5.4,1.74,-658.4126215,232.3,-329.2063107
Fe_HCP_5.4_174_11_6.out,50,128,5.4,1.74,-658.4128147,323.1,-329.2064074
Fe_HCP_5.41_174_6_3.out,50,28,5.41,1.74,-658.408747,62.5,-329.2043735
Fe_HCP_5.41_174_7_4.out,50,48,5.41,1.74,-658.4117827,89.7,-329.2058913
Fe_HCP_5.41_174_8_4.out,50,60,5.41,1.74,-658.4111754,127.6,-329.2055877
Fe_HCP_5.41_174_9_5.out,50,72,5.41,1.74,-658.4118871,145.3,-329.2059435
Fe_HCP_5.41_174_10_5.out,50,84,5.41,1.74,-658.4112137,132.7,-329.2056069
Fe_HCP_5.41_174_11_6.out,50,128,5.41,1.74,-658.4114775,252.8,-329.2057388
Fe_HCP_5.42_174_6_3.out,50,28,5.42,1.74,-658.4060758,68.5,-329.2030379
Fe_HCP_5.42_174_7_4.out,50,48,5.42,1.74,-658.4093651,102.7,-329.2046825
Fe_HCP_5.42_174_8_4.out,50,60,5.42,1.74,-658.4086914,239.7,-329.2043457
Fe_HCP_5.42_174_9_5.out,50,72,5.42,1.74,-658.4094875,130.3,-329.2047438
Fe_HCP_5.42_174_10_5.out,50,84,5.42,1.74,-658.4087235,143.2,-329.2043618
Fe_HCP_5.42_174_11_6.out,50,128,5.42,1.74,-658.4090556,265.1,-329.2045278
Fe_HCP_5.43_174_6_3.out,50,28,5.43,1.74,-658.4037513,62.4,-329.2018756
Fe_HCP_5.43_174_7_4.out,50,48,5.43,1.74,-658.4071901,140.3,-329.203595
Fe_HCP_5.43_174_8_4.out,50,60,5.43,1.74,-658.4064556,209.7,-329.2032278
Fe_HCP_5.43_174_9_5.out,50,72,5.43,1.74,-658.4073112,134.4,-329.2036556
Fe_HCP_5.43_174_10_5.out,50,84,5.43,1.74,-658.4065091,183.6,-329.2032546
Fe_HCP_5.43_174_11_6.out,50,128,5.43,1.74,-658.4068601,6722.8,-329.2034301
Fe_HCP_5.44_174_6_3.out,50,28,5.44,1.74,-658.4014924,97.9,-329.2007462
